content,polar
  菲 军舰 恶意 撞击 窝囊 的 糊禁 逃 崽子 我 日泥码,-1
  菲 军舰 恶意 撞击 中国 已 很 让 国人 失望   真 的 不 能 再 叫 母亲 了 改 叫 父亲 才 能 威慑 四 邻,-1
  菲 军舰 恶意 撞击 中国 在 对外 就 和 孙子 一样 就 会 欺负 自己 人 空军 能 让 美国 撞 渔船 就 能 让 菲律宾 小鬼撞 中国 要是 不 禁 枪 哥们 非 让 他 知道 华夏 子孙 是 不 好惹 的,-1
  没 办法 呀   毕竟 是 中国 最 黑 的 党～ 共产党 在 执政 持强 凌弱   菲 军舰 恶意 撞击,-1
  菲 军舰 恶意 撞击 难道 政府 忘 了 党 的 教诲 忘 了 撒 满 革命 热血 的 那 面 五星红旗   无论 政府 有 怎样 的 深谋远虑 国人 受 欺负 就 是 你们 的 无能   中国 您 醒醒,-1
  菲 军舰 恶意 撞击 hu 这 狗日 的 怕 是 第二 个 布什,-1
  菲 军舰 恶意 撞击 中国 军队 无能懦弱 什 么 都 听 上面 的,-1
  菲 军舰 恶意 撞击 对于 中国 政府 垃圾 腐败 还 很 孙子 作为 中国 人 被 欺负 习惯 习惯 就 好,-1
  菲 军舰 恶意 撞击 蛋痛 的 中国 人 不 痒 的 政府,-1
  菲 军舰 恶意 撞击 现在 的 中国 就是 当年 晚清 怂包 软蛋 的 官员,-1
  菲 军舰 恶意 撞击 中国 是 时候 强硬起 来 了 不 应 只 停留 在 懦弱 谈判   该 出手 时 就要 出手 了,-1
  菲 军舰 恶意 撞击 胡×× 还是 不 行 ～ 对于 美国 人 不 能 过于 软弱 惩戒 一下 菲律宾 给 美国 人 看看 ～,-1
  菲 军舰 恶意 撞击 就 是 中国 太 懦弱 了 什 么 人 都 敢 欺负 到头 上,-1
  菲 军舰 恶意 撞击 菲律宾 是 无懒 小国 占 我 领海欺 我 鱼民 请问 我们 军队 在 干 吗   我们 海军 在 干 吗   给 他 颜色 看看,-1
  菲 军舰 恶意 撞击 中国 的 领导层 太 软弱 啦 还 大国 呢   丢人,-1
  菲 军舰 恶意 撞击 中国 人民 是 不 可 战胜 的   别 以为 让 着 你 就是 怕 你,1
  菲 军舰 恶意 撞击 国 家 的 耻辱,-1
  菲 军舰 恶意 撞击 中国 还是 无法 摆脱 百年 传统 的 软弱,-1
  菲 军舰 恶意 撞击 小小 菲律宾 都 敢 动 你 中国,-1
  菲 军舰 恶意 撞击 这种 事怎 么 这 么 平常 了   一次次 的 强烈 谴责 一次次 的 强调   固有 领土   在 我们 农村 房 基地 被 人 占 一点 也 不行 是 不 是 闲 咱们 国 家 面积 太 大 了   殊 不 知人善 被 人 欺   崛起 中国,-1
  菲 军舰 恶意 撞击 有 多少 人 关心 这些   媒体 都 干 嘛 去 了   这 不 是 一个 人 的 病   而是 社会,-1
  菲 军舰 恶意 撞击 共产党 下台,-1
  菲 军舰 恶意 撞击 现在 的 中国 太 软弱 了 不 知道什 么 时候 能 硬起 来,-1
  菲 军舰 恶意 撞击 中国 现在 太窝囊 了 要是 毛 爷爷 邓 爷爷 在 什 么 越南 菲律宾 早T M滚蛋 了,-1
  菲 军舰 恶意 撞击 都 几 年 了 菲律宾 屡屡 挑衅 外交部除 了 抗议 还有 什 么 丫 的 太 懦弱 了   迟早 人 家 会 宣战 的 一定 到 那时 才 动手 吗   我 感觉 越 来 越 失望 了,-1
  菲 军舰 恶意 撞击 中国 的 那 群 老 东西 够 软蛋   怕 了 是 薄   怕 搞 乱 你们 美好 的 回忆   老 了 就 滚 回去 报 孙子   别 让 全国 人民 吐 你们 口 水,-1
  菲 军舰 恶意 撞击 呵呵 谁 叫 我们 国 家 政府 是 软蛋 呢   以后 没事 别 出去   省 得 被 人 劫持 杀害 又 故意 把 你 撞 翻   万一 要 出去 挂 上 美国 旗 就 没 敢 人 惹   谁 惹 就 灭 他 满门,-1
  菲 军舰 恶意 撞击 我们 不 能 再 软弱 了 中华 雄狮 起 来,1
  菲 军舰 恶意 撞击 草   国 家 在 干 吗   就 让 他 那 么 的 挑衅,-1
  菲 军舰 恶意 撞击 小菲 你 真 不 要 脸 你 TMD給 我 听 好 了 中国 做 为 世界 第一 文明 大国 不 給 你 你 说 你 连 一个 文明人 你 都 欺负 你 TMD 还是 人 吗   不 是 中国 不 打 你 你 p大点 的 国 家 中国 怕别 的 国 家 说 中国 已 大 欺 小 你 TMD 知道 了 吗   你 在 拽 小心 外星人 揍 你,-1
  菲 军舰 恶意 撞击 所有 爱国人士 都 应该 对 政府 军队 的 软弱 给 予 强烈 的 谴责 国 家 是 人们 的 国 家 不 是 几 个 人 的 国 家 对于 关乎 全国 人民 利益 的 大 事件 人们 应该 有 权力 表达 意愿   并且 政府 应该 尊重 和 有效 的 执行   我 希望 国 家 富强 希望 拥有 一 份 作为 中国 人 的 自豪,-1
  菲 军舰 恶意 撞击 中国   秧秧 大国   灭 掉 蛋丸 之 地 的 菲律宾  ,1
  菲 军舰 恶意 撞击 习惯 了 中国 外交 的 道貌岸然 真 他 爹 的 窝囊,-1
  菲 军舰 恶意 撞击 类似 的 事 很多   中国 是 礼仪之邦   肯定 是 态度 强硬   行动 软弱   身 为 百姓 的 我们 要 忍   一定 要 忍   那 怕 南海 从 中国 版图 中 消失   还是 忍 了   经济 建设 最 重要,1
  菲 军舰 恶意 撞击 南海 舰队 何在   是 否 也 可以 意外 的 送 它 个 鱼雷,-1
  菲 军舰 恶意 撞击 MD 干 掉 他 姥姥 小 菲子,-1
  菲 军舰 恶意 撞击 政府 就 会 以 规章节制 穷 老百姓 官员 自己 贪污 受贿 有钱人 肆意妄为   碰上 外国 中国 又 打 着 友好 的 旗号 了 事 国际 上 充好人 称 大国 其实 自己 国 家 还 没 处理 好,-1
  菲 军舰 恶意 撞击 都 是 狗熊 只 会 欺负 百姓 不 会 对付 外侮 早晚 倒台,-1
  菲 军舰 恶意 撞击 中国   你 还要 窝囊 到什 么 时候   难道 等 到 人 家 刀 架 到 你 脖子 上 才 知道 反抗 么,-1
  菲 军舰 恶意 撞击 中国 的 兵 就 是 好 天天 上课 就 是 没 毕业 考试 过,-1
  菲 军舰 恶意 撞击 明天 的 电视 又 要 开始 强烈 谴责 了   国防部 真 的 该 解散 了,-1
  菲 军舰 恶意 撞击 安逸   这 就 是 软弱 的 后果   家 门口 都 被 欺 真 想 不 通 还 说 中国 说 超级大国 超级 大 笨国,-1
  菲 军舰 恶意 撞击 中国 总是 那 么 软弱,-1
  菲 军舰 恶意 撞击 中国 政府 缺 钙 了 哈哈哈哈哈,-1
  菲 军舰 恶意 撞击 无 能 政府 庸官 下台,-1
  菲 军舰 恶意 撞击 我 建议 反 供 这 政府 太 无 能 了 不 如 一个 国民党 现在 推翻 了 谁 起 个头,-1
  菲 军舰 恶意 撞击 弱国 无 外交 前 一 段 时间 是 小 日本 这 两 天 泰国 缅甸 这 回 菲律宾 中国 的 领导 好 脾气   我 心 痛,-1
  菲 军舰 恶意 撞击 等 我 把 钱 赚 够 了 就 不 回国 了 我 在 这 定居 了   中国 政府 太 无 能 了,-1
  菲 军舰 恶意 撞击 中国 共产党什 么 都 好 就是 在 被 欺负 的 时候 话 都 不 敢 说,-1
  菲 军舰 恶意 撞击 菲 国真 是 欺人太甚 根本 就 是 流氓 行为 说什 么 小 意外 在 南海 菲 国有 什 么 资格 检查 我国 的 渔船 就 凭 他 开 艘 炮艇 吗,-1
  菲 军舰 恶意 撞击 共产党 对外 就是 忍者 神龟,-1
  菲 军舰 恶意 撞击 菲 狗 你 不 要 太 消张 了,-1
  菲 军舰 恶意 撞击 小菲 你 丫 的 找 国人 费 了 你 呢 明天 炮轰 它们 说 演习 呢 没 看见 那 块 小 地方 还 有人 只 看见 一 群 猪,-1
  菲 军舰 恶意 撞击 要   中国 人民 军队 在 干 嘛 呀   连 菲律宾 小人 国都 来 踏 上 你 唻,-1
  菲 军舰 恶意 撞击 政府 把 东亚 病夫 演绎 得 淋漓尽致   在 下 佩服 得 五体投地,-1
  菲 军舰 恶意 撞击 中国 这 一 代 领导人 太 无 能 了 虽然 这 是 美国 蓄意 挑拨,-1
  菲 军舰 恶意 撞击 中国 快 完 了 共产党 下台,-1
  菲 军舰 恶意 撞击 中国 政府 阳萎 了,-1
  菲 军舰 恶意 撞击 中国 政府 太 软弱 了     最近 发生 的 一些 是 让 人 太 窝火 了   老胡 你 成天 在 想 些 啥 呢 为 了 你,-1
  菲 军舰 恶意 撞击 中华民族 真 悲哀   日本 干 一下   非礼 一下   印度 一下   南面 一下   东面 一下   中国 是 女优 吗,-1
  菲 军舰 恶意 撞击 我们 又 回到 了 腐败 无能 的 清朝 时代 了,-1
  菲 军舰 恶意 撞击 昨日 是 泰狗 杀 你 12 人 今日 菲驴撞撞 你 小 船   明天 不 知 又 有 谁 对 你 做 啥   中国 就 他 妈 的 孬种 吊人 一个 国防 都 防 自己人 你 他 妈 国防 能 做 点 正事 吗   能 干 点 人事   你 他 妈怕 死 别 连 累 别人 吊炮 吊 飞机 在 那 都 生锈 了 你 不 会 发 给 国人   说 你 鸟人 怕 死 你 他 妈 说 这 说 那 你 他 妈 吃 屎 去,-1
  菲 军舰 恶意 撞击 中国 老 这 么 软弱 干 吗 的   给 他们 打 就是 了   年轻人 多 的 是   每个 年轻人 发发 架歼 11 炸 他们 的 老窝   就 说 中国 年轻人 玩 过 家家的,-1
  菲 军舰 恶意 撞击 高层 领导 你们 晚上 能 睡 着 吗 中国 人 的 尊严 快 被 你们 当官 做 没 了,-1
  菲 军舰 恶意 撞击 软弱 的 共产党 死去,-1
  菲 军舰 恶意 撞击 大势 以 去 共产党 完 咯,-1
  菲 军舰 恶意 撞击 敢 做 不 敢 当 的 小鳖 三,-1
  菲 军舰 恶意 撞击 以后 在 出海 把 中国 国旗 扯 下 来 挂 老美 的 中国 政府 太 软蛋 了,-1
  菲 军舰 恶意 撞击 TNND   中国 政府 什 么 时候 也 强硬 一 回,-1
  菲 军舰 恶意 撞击 中央 那些 领导 都 去 死   操 把 中国 人 杀光 他们 都 还 像 菩萨 一样 一动不动,-1
  菲 军舰 恶意 撞击 对外 软弱无能 对 自己 人心 狠手辣 这 就 是 中国 政府 永远 无法 改变 的 实事,-1
  我们 的 政府 不 够 强硬 每次 都 是 强烈 抗议 别人 鸟 你 么   菲 军舰 恶意 撞击,-1
  疯狂 的 大葱 物 价 局 该 管管 了,0
  疯狂 的 大葱 不 管 你 怎 么 涨 也 难 不 住 老百姓 只有 城市 的 人才 发愁 小葱 早 发芽 了,0
  疯狂 的 大葱 疯狂 的 不 是 葱 是 我们 的 政府   有 了 这样 的 世道 有什 么 不 能 疯,-1
  疯狂 的 大葱 疯狂 的 不 是 大葱,0
  疯狂 的 大葱 可以 更 贵 点 以后 过节 送礼 一 家 两 捆 大葱   多 气派 ～,1
  疯狂 的 大葱 涨 ．涨 ． 尽情 的 涨 ． 我 看 你 能 涨到什 么 时候,0
  疯狂 的 大葱 都 是 两会 代表 体验 生活 惹 的 祸 说 物 价 便宜 现在 好 了 会议 以 闭幕 这边 落 那边 涨 这 一切 都 是 正常 的 一切 都 在 操作 中,-1
  疯狂 的 大葱   蔬菜 家 族   以后 会 越 来 越 疯狂 的   我们 马上 就什 么 也 吃 不 起 了,-1
  疯狂 的 大葱 在 涨 谁 能 吃 多少 不 吃 也 可以 自然 涨 的 没意思 了 在 看看 燃油 的 价格 如今 谁 又 能 不 用 呢,0
  疯狂 的 大葱 和 公务员 的 工资 比 这 点 算什 么 和 吃 公款 的 比 只 不 过 不 到 九牛一毛 可怜 可惨 的 农民 人,-1
  疯狂 的 大葱 夸张 了   真 这样 我 立 马 去 种葱 去,-1
  疯狂 的 大葱 现在 植物 稀少 动物 居多   绿色 养生 嘛   贵 点 应该,1
  疯狂 的 大葱 还有 什 么 是 不 长 的,0
  疯狂 的 大葱   惊讶 简直 太 疯狂 啦,-1
  疯狂 的 大葱 还 真 够 黑 的,-1
  疯狂 的 大葱 不 是 说物 价 下降 了% 之 多少 吗   净 吹牛   这 不 坑 老百姓 吗   还 讲 诚信 政府 先 不 讲 诚信 还 让 百姓 讲 i,-1
  疯狂 的 大葱 大葱 呵呵   咱 也 秀 一 回   不 知达人秀 的 那 卖 菜 大妈 还 送 你 葱 不,0
  疯狂 的 大葱 来 点 更 疯狂 的,0
  疯狂 的 大葱   真 让 人 大脑   葱   血,-1
  疯狂 的 大葱 物 价 局 吃 干 饭 该 出 来 管管 了 .天天 座地 不 动 能 了 解 到 多少   物 价 瞎 涨 就 工资 不 涨,-1
  疯狂 的 大葱 十 块 钱 买 两 根 葱 我 要是 在 那样 的 物 价 环境 中 生活 估计 早 饿 死 了   太 坑 爹 了 如今 的 中国 是 怎 么 了,-1
  疯狂 的 大葱 价格 暴涨,-1
  疯狂 的 大葱 比 肉 都 贵 了,-1
  疯狂 的 大葱 以后 不 吃 葱 了,-1
  疯狂 的 大葱   6 元 一 斤 了   发怒,0
  疯狂 的 大葱 什 么 价格 都 涨 咋 就 没有 看到 工资 涨   我 想 不 用 多久 中国 又 可以 看到 不 少 的 街头 乞丐 了,-1
  疯狂 的 大葱 太 夸张 也 没 那 么 凶,-1
  疯狂 的 大葱   让 它 涨 价 去 我 又 不 吃 葱,0
  疯狂 的 大葱 自己 种 呗 种花 盆 里 浇水 就 行 了 嘿嘿,0
  疯狂 的 大葱 据说 十 元 买 两 根 什 么 都 涨 价 还 让 不 让 人 活 了 都 辟谷 得 了,-1
  疯狂 的 大葱 哪 有 这 么 贵 的 给 我 我 都 不 看 一 眼,-1
  疯狂 的 大葱 不 喜欢 吃,-1
  疯狂 的 大葱 中国 吃 有毒 的 奶粉 用 臭沟 里 油 买 10 元 两 根 葱 炒病 死 猪肉 喝 有 致癌 饮料 住豆 腐渣 的 房 走 山体 滑坡 的 路 过 洪水 淹 着 的 桥 上 微薪水 的 班 坐报废 的 车 读 无 黑板 学校 写 没有 笔 的 字 娶 买 来 的 老婆 养 拐 来 的 娃 存 不翼而飞 的 款 取 真假 不 知 的 钱 供 一 群 腐败 的 官   我们 还 没 死 活 不 起,-1
  疯狂 的 大葱 目前 的 中国 经济 就 好像 一 颗 大葱 看 着 挺直 如果 储存 管理 不 当 被 霜冻 一 打 立马 萎缩,-1
  疯狂 的 大葱 真是 坑 他 老祖宗 呢 你 给 我 十 块 钱 我 给 你 五 根,-1
  疯狂 的 大葱 我 希望 物 价 和 工资 都 不 要 再 长 了   稳定 中 求 发展 嘛,0
  疯狂 的 大葱 主要 的 还是 赚钱 太 少   吃 葱 都 吃 不 饱,-1
  疯狂 的 大葱   要 吃 还 得 买  ,0
  疯狂 的 大葱 只 有 劳动力 最 廉 价,-1
  疯狂 的 大葱 还 挺 ‘ 疯 ’ 的,-1
  疯狂 的 大葱 10 元 现在 已经 卖 不 到什 么 了 伤感,-1
  疯狂 的 大葱 小葱 大葱 都 是 葱,0
  疯狂 的 大葱 为什 么 农产品 涨 了 农民 的 腰包 却 不 见 涨 呢,0
  疯狂 的 大葱 如果 工资 涨 就 好 了,0
  疯狂 的 大葱 别 整天 的 盯 着 涨 价 涨 价 为什 么 涨 价 你们 知道 吗   人民币 不 值钱 了 能 不 涨 吗   为什 么 不 值钱   自己 问 党 去,-1
  疯狂 的 大葱 想 吃 大葱 蘸 酱,0
  疯狂 的 大葱 其实 农产品 的 价格 种地 的 说 了 不 算   但 目前 来 看 政府 也 说 了 不 算 到底 谁 说 了 算 呢   不 明白,0
  疯狂 的 大葱 社会 的 通货膨胀 了,0
  疯狂 的 大葱 十 块 钱 两 根 以前 吃 煎饼 果子 是 拼命 放 葱花 现在 吃 是 拼命 放 鸡蛋   衰,-1
  疯狂 的 大葱 差 不 多 我 妈 买 了 一 根 四 块 钱 跟 我 说 的 时候 我 都 觉得 震 了,-1
  疯狂 的 大葱 物 价 不 想 让 人们 过日子 了,-1
  疯狂 的 大葱 可 不 嘛   食堂 都 暴涨,-1
  疯狂 的 大葱 葱 要 比 肉 贵 了 以后 改 吃 面 了 不 要 加葱,-1
  疯狂 的 大葱 大葱 它 肿 么 了   拥抱,0
  疯狂 的 大葱 悲催 的 社会,-1
  疯狂 的 大葱   不 为 别 的 仅此而已,0
  疯狂 的 大葱 这 么 狠 不 是 坑人 吗,-1
  疯狂 的 大葱 这 日子 可 真是 没法 过 了 今天 炒 绿豆 明天 炒 大蒜 现在 大葱 又 被 炒 上 了 下 一个 是 谁 呢,-1
  疯狂 的 大葱 好 坑 爹,-1
  疯狂 的 大葱   物 价 我 同意 你 涨   你 能 带 同   工资 一起 吗,-1
  疯狂 的 大葱 什 么 都 涨 就 工资 不 涨   等 工资 张 了 什 么 就 都 又 涨 了   鸭梨,-1
  疯狂 的 大葱 无视 家 里 就 土地 多 随便 种 点 够 吃 的,0
  疯狂 的 大葱 蒜 葱 狠,-1
  疯狂 的 大葱 唉 难过,0
  疯狂 的 大葱 拉 去 枪 毕   让 他 涨 价 害 老白 姓,-1
  疯狂 的 大葱 我 不 吃 这 东西,0
  疯狂 的 大葱 下 一个 疯狂 又 是 什 么 呢,0
  疯狂 的 大葱 如今 的 物 价 太 吓人 了   中国 的 工薪族 还 能 活 吗   十 块 钱 的 两 根 葱 我 决定 不 吃 了 只 吃 普通 的 葱,-1
  疯狂 的 大葱 啥 不 疯狂   唉   敲打,0
  疯狂 的 大葱 深 有 体会,0
  疯狂 的 大葱 现在 啥 不 疯狂   农产品 难 么 多 炒 完 这个 炒 那个   商人 嘛 挣 了 一 元 还 想 挣十 元 永远 不 会 满足   他 才 不 会 管 你 什 么 民生 什 么 国 家 利益 什 么 社会 稳定   利益 至上 才 是 真 的,-1
  疯狂 的 大葱 大葱 今年 疯狂 不 起 来 了,0
  疯狂 的 大葱 只 听到 涨 的 没 听到 跌 的 涨 涨涨 到 最后 就 剩下 RR 不 值钱 了,-1
  疯狂 的 大葱 大葱贵   我 宁可 不 吃,-1
  疯狂 的 大葱 呛 呛 呛 死 我 了,0
  疯狂 的 大葱 葱 疯头 了,-1
  疯狂 的 大葱 穷人 话 多 葱上 张 与 种葱 的 农民 有什 么 关系 不 知道 就 不 要 瞎 说 最 冤 的 是 农民 自己 种 的 都 舍 不 得 吃,-1
  疯狂 的 大葱 现在 的 工资 只能 吃什 么 呢,-1
  疯狂 的 大葱 老 家 的 葱涨 钱 了,-1
  疯狂 的 大葱 真 是 天 价 比 房子 还 贵,-1
  疯狂 的 大葱 吃饭 都 快 吃 不 起 了.....   这 到底 是 什 么 社会 .....,-1
  疯狂 的 大葱 这 一切 都 太 可怕 了,-1
  疯狂 的 大葱 物 价 主管 部门 干什 么 去 了,-1
  疯狂 的 大葱 大葱 价格 不 稳定 一 年 里 可能 就 是 很 短 的 时间 可能 值 点 钱 很多 的 时间 里 我们 买 的 时候 还是 便宜 的 所以 种 的 人 少 了 再说 今年 多 冷 呀 贵 一点 也 是 情有可缘 的,1
  疯狂 的 大葱 北京 卖葱 的 都坑人 还是 家 里 的 大葱 便宜,0
  疯狂 的 大葱 我 不 吃 可以,0
  疯狂 的 大葱   惊恐 这样 不 正常 的 事情   物 价 局,-1
  疯狂 的 大葱 真是 疯狂 的 世界,-1
  疯狂 的 大葱 基本 的 民生 问题 都 解决 不 了 中国 中国,-1
  疯狂 的 大葱 涨 涨涨 涨 你 妹 涨,-1
  疯狂 的 大葱 猪 都 用 上 瘦肉 精 了 葱会 不 会,0
  疯狂 的 大葱 青菜 都 快 买 不了了 都 不 敢 吃 青菜 了   一个 字 贵,-1
  疯狂 的 大葱 不 买   全 烂 掉,0
  疯狂 的 大葱 用 一 天 的 工资 买 了 锅 可 买 不 起 菜   停火 了   用 一个 月工资 买 了 手机 可 绞 不 起 话费   停机 了   用 一 年 的 工资 买 了 车 可 用 不 起 油   停车 了   用 五十 年 工资 买 了 房子 可 交 不 起 管理费   停电 了,-1
  疯狂 的 大葱 都 他 妈R MB惹 的 货,-1
  疯狂 的 大葱   疯狂 以前 去 菜市场 买 菜 摊主 都 送 你 葱 而 今天 一 般 都 不 送 葱 了,-1
  疯狂 的 大葱 那 是 北方 人 的 最 爱 我 不 吃 葱 免费 送 我 的 话 可以 考虑,0
  疯狂 的 大葱 政府 为什 么 不 打击 这种 恶意 的 炒作   这 并 不 是 单纯 的 商家 炒作   追 查幕 后 看看 谁 才 是 这 利益 链条 中 的 关键,-1
  疯狂 的 大葱 这个 现在 看 来 很 正常 关键 是 要 查清 到底 是 物 价 上涨 得 离谱 还是 大葱 给 炒 得 离谱,1
  疯狂 的 大葱 我 以后 实习 还 没有 工资 发 的 以 现在 的 物 价 看 来 我 以后 是 不 是 会 饿 死 呢,-1
  官员 财产 公示   纯属 作秀   走 个 形式,-1
  官员 财产 公示 只 当 它 是 个 带 响 的 屁,-1
  官员 财产 公示 廉洁人 是 不 能 做官 的   就 是 廉洁 监理 都 是 被 甲方 和 施工方 看 不 起 的   你 说 财产 公示 能 有 投诉 吗,-1
  官员 财产 公示 大 家 不要 抱 任何 幻想 只是 个 笑话,-1
  官员 财产 公示 憧憬 着 新 中国 的 美好 与 辉煌,0
  官员 财产 公示   别 扯 蛋 了 蛋疼   不 过 这些 年 也 疼 惯 了 还是 打打酱油 看看 凤姐 比较 实在   右哼 哼,-1
  官员 财产 公示 中国 的 高层 都 他 妈 是 装 真 不 知道 你们 的 各级 领导 有 多 贪 吗 还 零 投诉 呢 真是 掩耳盗铃,-1
  官员 财产 公示 除 了 党信 再 可能 就 是 小鬼信 了   随便 拉 个 村 官 或 股级 的 都 有 几 处 房产,-1
  官员 财产 公示 你们 还 会 在乎 百姓 的 看法 吗,-1
  官员 财产 公示 公布 与 不 公布 不 重要 社会 分配公 不 公是 根本   平常 在 心 平心 是 金 民心 是 镜 镜蒙容非,0
  官员 财产 公示 得 瑟什 么 这 事 悬,-1
  官员 财产 公示 这 是 个 冷笑话 么,-1
  官员 财产 公示 明摆着 是 骗 傻子 的   到 银行 查 一下 啥 鸡 巴 都 清楚 了   这 不 是 下边 叫唤 得 不 行 了 才 弄 出 个 这 玩意 让 畜生 公示   呀 别 笑 死 洒 家 了   你 敢 投诉 等于 向 社会 宣战 傻子 才 投诉   草,-1
  官员 财产 公示 官员 财产 公示 难 再 一 次 印证 第一 靠 拥有 权力者 革 自己 的 命 监督 约束 自己 的 权利 基本 就是 扯淡   第二 即便 官员 财产 公示 制度 顺利 施行 老百姓 没有 监督权 官员 不 向 老百姓 负责 而 只 对 上 负责 财产 公示 就 还是 摆设   第三 社会 从 上 到 下 对 腐败 零容忍 的 氛围 缺乏 腐败 就 就 继续 拥有 深厚 的 土壤,-1
  官员 财产 公示 大 家 都 来 考 公务员,0
  官员 财产 公示   公开 的 只 是 明 的 暗 的 有 谁 知道 呢,-1
